meeting;name;birthday;difference[days]
2019-11-25;person1;2019-08-06;111
2019-11-25;person2;2019-08-03;114
2019-12-09;person6;2019-09-01;99
2019-12-09;person8;2019-12-03;6
2019-12-16;person10;2019-08-30;108
2019-12-16;person13;2019-10-07;70
2019-12-23;person41;2019-12-23;0
2019-12-23;person24;2019-12-02;21
2020-01-13;person9;2019-12-27;17
2020-01-13;person12;2020-01-03;10
2020-01-20;person29;2020-01-18;2
2020-01-20;person31;2020-01-10;10
2020-01-27;person34;2020-01-27;0
2020-01-27;person45;2020-01-07;20
2020-02-03;person5;2020-01-31;3
2020-02-03;person21;2020-01-28;6
2020-02-10;person27;2019-09-26;137
2020-02-10;person28;2019-08-07;187
2020-02-17;person14;2020-02-13;4
2020-02-17;person49;2020-02-15;2
2020-02-24;person43;2020-02-22;2
2020-02-24;person39;2019-08-03;205
2020-03-02;person52;2020-02-25;6
2020-03-02;person42;2019-10-13;141
2020-03-09;person4;2020-03-06;3
2020-03-09;person16;2020-03-03;6
2020-03-16;person22;2020-03-11;5
2020-03-16;person38;2020-03-10;6
2020-03-23;person25;2020-03-22;1
2020-03-23;person26;2020-03-18;5
2020-03-30;person35;2020-03-17;13
2020-03-30;person46;2019-09-29;183
2020-04-06;person30;2020-04-01;5
2020-04-06;person47;2019-10-06;183
2020-04-13;person3;2020-04-08;5
2020-04-13;person50;2020-04-09;4
2020-04-20;person48;2019-10-06;197
2020-04-20;person51;2019-08-31;233
2020-05-04;person11;2020-04-27;7
2020-05-04;person37;2020-04-29;5
2020-05-11;person17;2020-04-24;17
2020-05-11;person33;2020-04-24;17
2020-05-18;person44;2020-04-24;24
2020-05-25;person36;2020-05-27;2
2020-05-25;person20;2020-05-24;1
2020-06-01;person23;2020-05-31;1
2020-06-01;person15;2020-06-13;12
2020-06-08;person7;2020-06-26;18
2020-06-08;person18;2020-06-19;11
2020-06-15;person19;2020-07-18;33
2020-06-15;person32;2020-06-30;15
